Date,Open,High,Low,Close,Volume,ticker,name
2025-01-01 00:00:00+00:00,0.843765974,0.929422021,0.838926017,0.917591989,926095054,ADA-USD,Cardano
2025-01-01 00:00:00+00:00,93425.10156,94929.86719,92788.125,94419.75781,24519888919,BTC-USD,Bitcoin
2025-01-01 00:00:00+00:00,189.266922,194.8184967,187.8794556,193.8737335,2324231668,SOL-USD,Solana
2025-01-01 00:00:00+00:00,2.08012104,2.346772909,2.079150915,2.322340965,7677226237,XRP-USD,XRP
2025-01-01 00:00:00+00:00,3332.406494,3366.531494,3310.255859,3353.50415,14195410493,ETH-USD,Ethereum
2025-01-01 00:00:00+00:00,700.9868774,709.1989746,699.758606,706.5129395,1420234997,BNB-USD,BNB
2025-01-02 00:00:00+00:00,0.917653978,0.979081988,0.917596996,0.961345017,1199916914,ADA-USD,Cardano
2025-01-02 00:00:00+00:00,94416.28906,97739.82031,94201.57031,96886.875,46009564411,BTC-USD,Bitcoin
2025-01-02 00:00:00+00:00,193.8721313,209.0667267,193.2585297,207.7670441,4230329837,SOL-USD,Solana
2025-01-02 00:00:00+00:00,2.322407961,2.435502052,2.322395086,2.403369904,8345904442,XRP-USD,XRP
2025-01-02 00:00:00+00:00,3353.412109,3493.448242,3348.352051,3451.392578,22243574698,ETH-USD,Ethereum
2025-01-02 00:00:00+00:00,706.5124512,714.4386597,697.7047119,705.6785889,1880664942,BNB-USD,BNB
2025-01-03 00:00:00+00:00,0.961346984,1.116099,0.960044026,1.090376019,2503146669,ADA-USD,Cardano
2025-01-03 00:00:00+00:00,96881.72656,98956.91406,96034.61719,98107.42969,35611391163,BTC-USD,Bitcoin
2025-01-03 00:00:00+00:00,207.7676086,219.5595245,205.6524048,217.7473297,4064420852,SOL-USD,Solana
2025-01-03 00:00:00+00:00,2.40337491,2.474551916,2.397133112,2.452896118,5804528036,XRP-USD,XRP
2025-01-03 00:00:00+00:00,3451.680908,3627.055664,3421.831543,3605.009766,21877299255,ETH-USD,Ethereum
2025-01-03 00:00:00+00:00,705.6785889,715.0968628,697.5460815,713.6435547,1822243906,BNB-USD,BNB
2025-01-04 00:00:00+00:00,1.090352058,1.107918978,1.05885005,1.071400046,1175730814,ADA-USD,Cardano
2025-01-04 00:00:00+00:00,98106.99219,98734.42969,97562.97656,98236.22656,22342608078,BTC-USD,Bitcoin
2025-01-04 00:00:00+00:00,217.7480469,217.9050446,213.8314514,216.6229248,2432220391,SOL-USD,Solana
2025-01-04 00:00:00+00:00,2.452897072,2.504384041,2.406713963,2.419595003,4395986073,XRP-USD,XRP
2025-01-04 00:00:00+00:00,3605.200684,3669.196777,3574.326904,3657.706787,16060610759,ETH-USD,Ethereum
2025-01-04 00:00:00+00:00,713.6435547,721.15625,708.8513184,713.8411865,1524500208,BNB-USD,BNB
2025-01-05 00:00:00+00:00,1.071396947,1.107867956,1.055279016,1.093466997,1241263862,ADA-USD,Cardano
2025-01-05 00:00:00+00:00,98233.90625,98813.30469,97291.76563,98314.96094,20525254825,BTC-USD,Bitcoin
2025-01-05 00:00:00+00:00,216.622757,218.8784027,211.7652283,213.393631,2403765299,SOL-USD,Solana
2025-01-05 00:00:00+00:00,2.419579983,2.425544977,2.334361076,2.399727106,4125625773,XRP-USD,XRP
2025-01-05 00:00:00+00:00,3657.743164,3673.812988,3594.616943,3634.10376,12830306908,ETH-USD,Ethereum
2025-01-05 00:00:00+00:00,713.8411865,713.8411865,703.0022583,709.2583008,1411808759,BNB-USD,BNB
2025-01-06 00:00:00+00:00,1.093464017,1.112586975,1.068097949,1.09412396,1303664168,ADA-USD,Cardano
2025-01-06 00:00:00+00:00,98314.95313,102482.875,97926.14844,102078.0859,51823432705,BTC-USD,Bitcoin
